# tform	zone_origin	zone_final
8.000000e-02	25	25
8.000000e-02	26	26
8.000000e-02	27	27
8.000000e-02	28	28
8.000000e-02	29	29
9.000000e-02	0	0
9.000000e-02	1	1
9.000000e-02	2	2
9.000000e-02	3	3
9.000000e-02	4	4
9.000000e-02	5	5
9.000000e-02	6	6
9.000000e-02	7	1
9.000000e-02	8	9
9.000000e-02	9	9
9.000000e-02	10	10
9.000000e-02	11	18
9.000000e-02	12	8
9.000000e-02	13	10
9.000000e-02	14	13
9.000000e-02	15	16
9.000000e-02	16	16
9.000000e-02	17	17
9.000000e-02	18	18
9.000000e-02	19	19
9.000000e-02	20	20
9.000000e-02	21	21
9.000000e-02	22	22
9.000000e-02	23	23
9.000000e-02	24	24
9.000000e-02	25	25
9.000000e-02	26	26
9.000000e-02	27	27
9.000000e-02	28	28
9.000000e-02	29	29
1.000000e-01	0	0
1.000000e-01	1	1
1.000000e-01	2	2
1.000000e-01	3	3
1.000000e-01	4	4
1.000000e-01	5	5
1.000000e-01	6	6
1.000000e-01	7	1
1.000000e-01	8	9
1.000000e-01	9	9
1.000000e-01	10	10
1.000000e-01	11	18
1.000000e-01	12	8
1.000000e-01	13	10
1.000000e-01	14	13
1.000000e-01	15	16
1.000000e-01	16	16
1.000000e-01	17	17
1.000000e-01	18	18
1.000000e-01	19	19
1.000000e-01	20	20
1.000000e-01	21	21
1.000000e-01	22	22
1.000000e-01	23	23
1.000000e-01	24	24
1.000000e-01	25	25
1.000000e-01	26	26
1.000000e-01	27	27
1.000000e-01	28	28
1.000000e-01	29	29
1.100000e-01	0	0
1.100000e-01	1	1
1.100000e-01	2	2
1.100000e-01	3	3
1.100000e-01	4	4
1.100000e-01	5	5
1.100000e-01	6	6
1.100000e-01	7	1
1.100000e-01	8	9
1.100000e-01	9	9
1.100000e-01	10	10
1.100000e-01	11	18
1.100000e-01	12	8
1.100000e-01	13	10
1.100000e-01	14	13
1.100000e-01	15	16
1.100000e-01	16	16
1.100000e-01	17	17
1.100000e-01	18	18
1.100000e-01	19	19
1.100000e-01	20	20
1.100000e-01	21	21
1.100000e-01	22	22
1.100000e-01	23	23
1.100000e-01	24	24
1.100000e-01	25	25
1.100000e-01	26	26
1.100000e-01	27	27
1.100000e-01	28	28
1.100000e-01	29	29
1.200000e-01	0	0
1.200000e-01	1	1
1.200000e-01	2	2
1.200000e-01	3	3
1.200000e-01	4	4
1.200000e-01	5	5
1.200000e-01	6	6
1.200000e-01	7	1
1.200000e-01	8	9
1.200000e-01	9	9
1.200000e-01	10	10
1.200000e-01	11	18
1.200000e-01	12	8
1.200000e-01	13	10
1.200000e-01	14	13
1.200000e-01	15	16
1.200000e-01	16	16
1.200000e-01	17	17
1.200000e-01	18	18
1.200000e-01	19	19
1.200000e-01	20	20
1.200000e-01	21	21
1.200000e-01	22	22
1.200000e-01	23	23
1.200000e-01	24	24
1.200000e-01	25	25
1.200000e-01	26	26
1.200000e-01	27	27
1.200000e-01	28	28
1.200000e-01	29	29
1.300000e-01	0	0
1.300000e-01	1	1
1.300000e-01	2	2
1.300000e-01	3	3
1.300000e-01	4	4
1.300000e-01	5	5
1.300000e-01	6	6
1.300000e-01	7	1
1.300000e-01	8	9
1.300000e-01	9	9
1.300000e-01	10	10
1.300000e-01	11	18
1.300000e-01	12	8
1.300000e-01	13	10
1.300000e-01	14	13
1.300000e-01	15	16
1.300000e-01	16	16
1.300000e-01	17	17
1.300000e-01	18	18
1.300000e-01	19	19
1.300000e-01	20	20
1.300000e-01	21	21
1.300000e-01	22	22
1.300000e-01	23	23
1.300000e-01	24	24
1.300000e-01	25	25
1.300000e-01	26	26
1.300000e-01	27	27
1.300000e-01	28	28
1.300000e-01	29	29
1.400000e-01	0	0
1.400000e-01	1	1
1.400000e-01	2	2
1.400000e-01	3	3
1.400000e-01	4	4
1.400000e-01	5	5
1.400000e-01	6	6
1.400000e-01	7	1
1.400000e-01	8	9
1.400000e-01	9	9
1.400000e-01	10	10
1.400000e-01	11	18
1.400000e-01	12	8
1.400000e-01	13	10
1.400000e-01	14	13
1.400000e-01	15	16
1.400000e-01	16	16
1.400000e-01	17	17
1.400000e-01	18	18
1.400000e-01	19	19
1.400000e-01	20	20
1.400000e-01	21	21
1.400000e-01	22	22
1.400000e-01	23	23
1.400000e-01	24	24
1.400000e-01	25	25
1.400000e-01	26	26
1.400000e-01	27	27
1.400000e-01	28	28
1.400000e-01	29	29
1.500000e-01	0	0
1.500000e-01	1	1
1.500000e-01	2	2
1.500000e-01	3	3
1.500000e-01	4	4
1.500000e-01	5	5
1.500000e-01	6	6
1.500000e-01	7	1
1.500000e-01	8	9
1.500000e-01	9	9
1.500000e-01	10	10
1.500000e-01	11	18
1.500000e-01	12	8
1.500000e-01	13	10
1.500000e-01	14	13
1.500000e-01	15	16
1.500000e-01	16	16
1.500000e-01	17	17
1.500000e-01	18	18
1.500000e-01	19	19
1.500000e-01	20	20
1.500000e-01	21	21
1.500000e-01	22	22
1.500000e-01	23	23
1.500000e-01	24	24
1.500000e-01	25	25
1.500000e-01	26	26
1.500000e-01	27	27
1.500000e-01	28	28
1.500000e-01	29	29
1.600000e-01	0	0
1.600000e-01	1	1
1.600000e-01	2	2
1.600000e-01	3	3
1.600000e-01	4	4
1.600000e-01	5	5
1.600000e-01	6	6
1.600000e-01	7	1
1.600000e-01	8	9
1.600000e-01	9	9
1.600000e-01	10	10
1.600000e-01	11	18
1.600000e-01	12	8
1.600000e-01	13	10
1.600000e-01	14	13
1.600000e-01	15	16
1.600000e-01	16	16
1.600000e-01	17	17
1.600000e-01	18	18
1.600000e-01	19	19
1.600000e-01	20	20
1.600000e-01	21	21
1.600000e-01	22	22
1.600000e-01	23	23
1.600000e-01	24	24
1.600000e-01	25	25
1.600000e-01	26	26
1.600000e-01	27	27
1.600000e-01	28	28
1.600000e-01	29	29
1.700000e-01	0	0
1.700000e-01	1	1
1.700000e-01	2	2
1.700000e-01	3	3
1.700000e-01	4	4
1.700000e-01	5	5
1.700000e-01	6	6
1.700000e-01	7	1
1.700000e-01	8	9
1.700000e-01	9	9
1.700000e-01	10	10
1.700000e-01	11	18
1.700000e-01	12	8
1.700000e-01	13	10
1.700000e-01	14	13
1.700000e-01	15	16
1.700000e-01	16	16
1.700000e-01	17	17
1.700000e-01	18	18
1.700000e-01	19	19
1.700000e-01	20	20
1.700000e-01	21	21
1.700000e-01	22	22
1.700000e-01	23	23
1.700000e-01	24	24
1.700000e-01	25	25
1.700000e-01	26	26
1.700000e-01	27	27
1.700000e-01	28	28
1.700000e-01	29	29
1.800000e-01	0	0
1.800000e-01	1	1
1.800000e-01	2	2
1.800000e-01	3	3
1.800000e-01	4	4
1.800000e-01	5	5
1.800000e-01	6	6
1.800000e-01	7	1
1.800000e-01	8	9
1.800000e-01	9	9
1.800000e-01	10	10
1.800000e-01	11	18
1.800000e-01	12	8
1.800000e-01	13	10
1.800000e-01	14	13
1.800000e-01	15	16
1.800000e-01	16	16
1.800000e-01	17	17
1.800000e-01	18	18
1.800000e-01	19	19
1.800000e-01	20	20
1.800000e-01	21	21
1.800000e-01	22	22
1.800000e-01	23	23
1.800000e-01	24	24
1.800000e-01	25	25
1.800000e-01	26	26
1.800000e-01	27	27
1.800000e-01	28	28
1.800000e-01	29	29
1.900000e-01	0	0
1.900000e-01	1	1
1.900000e-01	2	2
1.900000e-01	3	3
1.900000e-01	4	4
1.900000e-01	5	5
1.900000e-01	6	6
1.900000e-01	7	1
1.900000e-01	8	9
1.900000e-01	9	9
1.900000e-01	10	10
1.900000e-01	11	18
1.900000e-01	12	8
1.900000e-01	13	10
1.900000e-01	14	13
1.900000e-01	15	16
1.900000e-01	16	16
1.900000e-01	17	17
1.900000e-01	18	18
1.900000e-01	19	19
1.900000e-01	20	20
1.900000e-01	21	21
1.900000e-01	22	22
1.900000e-01	23	23
1.900000e-01	24	24
1.900000e-01	25	25
1.900000e-01	26	26
1.900000e-01	27	27
1.900000e-01	28	28
1.900000e-01	29	29
2.000000e-01	0	0
2.000000e-01	1	1
2.000000e-01	2	2
2.000000e-01	3	3
2.000000e-01	4	4
2.000000e-01	5	5
2.000000e-01	6	6
2.000000e-01	7	1
2.000000e-01	8	9
2.000000e-01	9	9
2.000000e-01	10	10
2.000000e-01	11	18
2.000000e-01	12	8
2.000000e-01	13	10
2.000000e-01	14	13
2.000000e-01	15	16
2.000000e-01	16	16
2.000000e-01	17	17
2.000000e-01	18	18
2.000000e-01	19	19
2.000000e-01	20	20
2.000000e-01	21	21
2.000000e-01	22	22
2.000000e-01	23	23
2.000000e-01	24	24
2.000000e-01	25	25
2.000000e-01	26	26
2.000000e-01	27	27
2.000000e-01	28	28
2.000000e-01	29	29
2.100000e-01	0	0
2.100000e-01	1	1
2.100000e-01	2	2
2.100000e-01	3	3
2.100000e-01	4	4
2.100000e-01	5	5
2.100000e-01	6	6
2.100000e-01	7	1
2.100000e-01	8	9
2.100000e-01	9	9
2.100000e-01	10	10
2.100000e-01	11	18
2.100000e-01	12	8
2.100000e-01	13	10
2.100000e-01	14	13
2.100000e-01	15	16
2.100000e-01	16	16
2.100000e-01	17	17
2.100000e-01	18	18
2.100000e-01	19	19
2.100000e-01	20	20
2.100000e-01	21	21
2.100000e-01	22	22
2.100000e-01	23	23
2.100000e-01	24	24
2.100000e-01	25	25
2.100000e-01	26	26
2.100000e-01	27	27
2.100000e-01	28	28
2.100000e-01	29	29
2.200000e-01	0	0
2.200000e-01	1	1
2.200000e-01	2	2
2.200000e-01	3	3
2.200000e-01	4	4
2.200000e-01	5	5
2.200000e-01	6	6
2.200000e-01	7	1
2.200000e-01	8	9
2.200000e-01	9	9
2.200000e-01	10	10
2.200000e-01	11	18
2.200000e-01	12	8
2.200000e-01	13	10
2.200000e-01	14	13
2.200000e-01	15	16
2.200000e-01	16	16
2.200000e-01	17	17
2.200000e-01	18	18
2.200000e-01	19	19
2.200000e-01	20	20
2.200000e-01	21	21
2.200000e-01	22	22
2.200000e-01	23	23
2.200000e-01	24	24
2.200000e-01	25	25
2.200000e-01	26	26
2.200000e-01	27	27
2.200000e-01	28	28
2.200000e-01	29	29
2.300000e-01	0	0
2.300000e-01	1	1
2.300000e-01	2	2
2.300000e-01	3	3
2.300000e-01	4	4
2.300000e-01	5	5
2.300000e-01	6	6
2.300000e-01	7	1
2.300000e-01	8	9
2.300000e-01	9	9
2.300000e-01	10	10
2.300000e-01	11	18
2.300000e-01	12	8
2.300000e-01	13	10
2.300000e-01	14	13
2.300000e-01	15	16
2.300000e-01	16	16
2.300000e-01	17	17
2.300000e-01	18	18
2.300000e-01	19	19
2.300000e-01	20	20
2.300000e-01	21	21
2.300000e-01	22	22
2.300000e-01	23	23
2.300000e-01	24	24
2.300000e-01	25	25
2.300000e-01	26	26
2.300000e-01	27	27
2.300000e-01	28	28
2.300000e-01	29	29
2.400000e-01	0	0
2.400000e-01	1	1
2.400000e-01	2	2
2.400000e-01	3	3
2.400000e-01	4	4
2.400000e-01	5	5
2.400000e-01	6	6
2.400000e-01	7	1
2.400000e-01	8	9
2.400000e-01	9	9
2.400000e-01	10	10
2.400000e-01	11	18
2.400000e-01	12	8
2.400000e-01	13	10
2.400000e-01	14	13
2.400000e-01	15	16
2.400000e-01	16	16
2.400000e-01	17	17
2.400000e-01	18	18
2.400000e-01	19	19
2.400000e-01	20	20
2.400000e-01	21	21
2.400000e-01	22	22
2.400000e-01	23	23
2.400000e-01	24	24
2.400000e-01	25	25
2.400000e-01	26	26
2.400000e-01	27	27
2.400000e-01	28	28
2.400000e-01	29	29
2.500000e-01	0	0
2.500000e-01	1	1
2.500000e-01	2	2
2.500000e-01	3	3
2.500000e-01	4	4
2.500000e-01	5	5
2.500000e-01	6	6
2.500000e-01	7	1
2.500000e-01	8	9
2.500000e-01	9	9
2.500000e-01	10	10
2.500000e-01	11	18
2.500000e-01	12	8
2.500000e-01	13	10
2.500000e-01	14	13
2.500000e-01	15	16
2.500000e-01	16	16
2.500000e-01	17	17
2.500000e-01	18	18
2.500000e-01	19	19
2.500000e-01	20	20
2.500000e-01	21	21
2.500000e-01	22	22
2.500000e-01	23	23
2.500000e-01	24	24
2.500000e-01	25	25
2.500000e-01	26	26
2.500000e-01	27	27
2.500000e-01	28	28
2.500000e-01	29	29
2.600000e-01	0	0
2.600000e-01	1	1
2.600000e-01	2	2
2.600000e-01	3	3
2.600000e-01	4	4
2.600000e-01	5	5
2.600000e-01	6	6
2.600000e-01	7	1
2.600000e-01	8	9
2.600000e-01	9	9
2.600000e-01	10	10
2.600000e-01	11	18
2.600000e-01	12	8
2.600000e-01	13	10
2.600000e-01	14	13
2.600000e-01	15	16
2.600000e-01	16	16
2.600000e-01	17	17
2.600000e-01	18	18
2.600000e-01	19	19
2.600000e-01	20	20
2.600000e-01	21	21
2.600000e-01	22	22
2.600000e-01	23	23
2.600000e-01	24	24
2.600000e-01	25	25
2.600000e-01	26	26
2.600000e-01	27	27
2.600000e-01	28	28
2.600000e-01	29	29
2.700000e-01	0	0
2.700000e-01	1	1
2.700000e-01	2	2
2.700000e-01	3	3
2.700000e-01	4	4
2.700000e-01	5	5
2.700000e-01	6	6
2.700000e-01	7	1
2.700000e-01	8	9
2.700000e-01	9	9
2.700000e-01	10	10
2.700000e-01	11	18
2.700000e-01	12	8
2.700000e-01	13	10
2.700000e-01	14	13
2.700000e-01	15	16
2.700000e-01	16	16
2.700000e-01	17	17
2.700000e-01	18	18
2.700000e-01	19	19
2.700000e-01	20	20
2.700000e-01	21	21
2.700000e-01	22	22
2.700000e-01	23	23
2.700000e-01	24	24
2.700000e-01	25	25
2.700000e-01	26	26
2.700000e-01	27	27
2.700000e-01	28	28
2.700000e-01	29	29
2.800000e-01	0	0
2.800000e-01	1	1
2.800000e-01	2	2
2.800000e-01	3	3
2.800000e-01	4	4
2.800000e-01	5	5
2.800000e-01	6	6
2.800000e-01	7	1
2.800000e-01	8	9
2.800000e-01	9	9
2.800000e-01	10	10
2.800000e-01	11	18
2.800000e-01	12	8
2.800000e-01	13	10
2.800000e-01	14	13
2.800000e-01	15	16
2.800000e-01	16	16
2.800000e-01	17	17
2.800000e-01	18	18
2.800000e-01	19	19
2.800000e-01	20	20
2.800000e-01	21	21
2.800000e-01	22	22
2.800000e-01	23	23
2.800000e-01	24	24
2.800000e-01	25	25
2.800000e-01	26	26
2.800000e-01	27	27
2.800000e-01	28	28
2.800000e-01	29	29
2.900000e-01	0	0
2.900000e-01	1	1
2.900000e-01	2	2
2.900000e-01	3	3
2.900000e-01	4	4
2.900000e-01	5	5
2.900000e-01	6	6
2.900000e-01	7	1
2.900000e-01	8	9
2.900000e-01	9	9
2.900000e-01	10	10
2.900000e-01	11	18
2.900000e-01	12	8
2.900000e-01	13	10
2.900000e-01	14	13
2.900000e-01	15	16
2.900000e-01	16	16
2.900000e-01	17	17
2.900000e-01	18	18
2.900000e-01	19	19
2.900000e-01	20	20
2.900000e-01	21	21
2.900000e-01	22	22
2.900000e-01	23	23
2.900000e-01	24	24
2.900000e-01	25	25
2.900000e-01	26	26
2.900000e-01	27	27
2.900000e-01	28	28
2.900000e-01	29	29
3.000000e-01	0	0
3.000000e-01	1	1
3.000000e-01	2	2
3.000000e-01	3	3
3.000000e-01	4	4
3.000000e-01	5	5
3.000000e-01	6	6
3.000000e-01	7	1
3.000000e-01	8	9
3.000000e-01	9	9
3.000000e-01	10	10
3.000000e-01	11	18
3.000000e-01	12	8
3.000000e-01	13	10
3.000000e-01	14	13
3.000000e-01	15	16
3.000000e-01	16	16
3.000000e-01	17	17
3.000000e-01	18	18
3.000000e-01	19	19
3.000000e-01	20	20
3.000000e-01	21	21
3.000000e-01	22	22
3.000000e-01	23	23
3.000000e-01	24	24
3.000000e-01	25	25
3.000000e-01	26	26
3.000000e-01	27	27
3.000000e-01	28	28
3.000000e-01	29	29
3.100000e-01	0	0
3.100000e-01	1	1
3.100000e-01	2	2
3.100000e-01	3	3
3.100000e-01	4	4
3.100000e-01	5	5
3.100000e-01	6	6
3.100000e-01	7	1
3.100000e-01	8	9
3.100000e-01	9	9
3.100000e-01	10	10
3.100000e-01	11	18
3.100000e-01	12	8
3.100000e-01	13	10
3.100000e-01	14	13
3.100000e-01	15	16
3.100000e-01	16	16
3.100000e-01	17	17
3.100000e-01	18	18
3.100000e-01	19	19
3.100000e-01	20	20
3.100000e-01	21	21
3.100000e-01	22	22
3.100000e-01	23	23
3.100000e-01	24	24
3.100000e-01	25	25
3.100000e-01	26	26
3.100000e-01	27	27
3.100000e-01	28	28
3.100000e-01	29	29
3.200000e-01	0	0
3.200000e-01	1	1
3.200000e-01	2	2
3.200000e-01	3	3
3.200000e-01	4	4
3.200000e-01	5	5
3.200000e-01	6	6
3.200000e-01	7	1
3.200000e-01	8	9
3.200000e-01	9	9
3.200000e-01	10	10
3.200000e-01	11	18
3.200000e-01	12	8
3.200000e-01	13	10
3.200000e-01	14	13
3.200000e-01	15	16
3.200000e-01	16	16
3.200000e-01	17	17
3.200000e-01	18	18
3.200000e-01	19	19
3.200000e-01	20	20
3.200000e-01	21	21
3.200000e-01	22	22
3.200000e-01	23	23
3.200000e-01	24	24
3.200000e-01	25	25
3.200000e-01	26	26
3.200000e-01	27	27
3.200000e-01	28	28
3.200000e-01	29	29
3.300000e-01	0	0
3.300000e-01	1	1
3.300000e-01	2	2
3.300000e-01	3	3
3.300000e-01	4	4
3.300000e-01	5	5
3.300000e-01	6	6
3.300000e-01	7	1
3.300000e-01	8	9
3.300000e-01	9	9
3.300000e-01	10	10
3.300000e-01	11	18
3.300000e-01	12	8
3.300000e-01	13	10
3.300000e-01	14	13
3.300000e-01	15	16
3.300000e-01	16	16
3.300000e-01	17	17
3.300000e-01	18	18
3.300000e-01	19	19
3.300000e-01	20	20
3.300000e-01	21	21
3.300000e-01	22	22
3.300000e-01	23	23
3.300000e-01	24	24
3.300000e-01	25	25
3.300000e-01	26	26
3.300000e-01	27	27
3.300000e-01	28	28
3.300000e-01	29	29
3.400000e-01	0	0
3.400000e-01	1	1
3.400000e-01	2	2
3.400000e-01	3	3
3.400000e-01	4	4
3.400000e-01	5	5
3.400000e-01	6	6
3.400000e-01	7	1
3.400000e-01	8	9
3.400000e-01	9	9
3.400000e-01	10	10
3.400000e-01	11	18
3.400000e-01	12	8
3.400000e-01	13	10
3.400000e-01	14	13
3.400000e-01	15	16
3.400000e-01	16	16
3.400000e-01	17	17
3.400000e-01	18	18
3.400000e-01	19	19
3.400000e-01	20	20
3.400000e-01	21	21
3.400000e-01	22	22
3.400000e-01	23	23
3.400000e-01	24	24
3.400000e-01	25	25
3.400000e-01	26	26
3.400000e-01	27	27
3.400000e-01	28	28
3.400000e-01	29	29
3.500000e-01	0	0
3.500000e-01	1	1
3.500000e-01	2	2
3.500000e-01	3	3
3.500000e-01	4	4
3.500000e-01	5	5
3.500000e-01	6	6
3.500000e-01	7	1
3.500000e-01	8	9
3.500000e-01	9	9
3.500000e-01	10	10
3.500000e-01	11	18
3.500000e-01	12	8
3.500000e-01	13	10
3.500000e-01	14	13
3.500000e-01	15	16
3.500000e-01	16	16
3.500000e-01	17	17
3.500000e-01	18	18
3.500000e-01	19	19
3.500000e-01	20	20
3.500000e-01	21	21
3.500000e-01	22	22
3.500000e-01	23	23
3.500000e-01	24	24
3.500000e-01	25	25
3.500000e-01	26	26
3.500000e-01	27	27
3.500000e-01	28	28
3.500000e-01	29	29
3.600000e-01	0	0
3.600000e-01	1	1
3.600000e-01	2	2
3.600000e-01	3	3
3.600000e-01	4	4
3.600000e-01	5	5
3.600000e-01	6	6
3.600000e-01	7	1
3.600000e-01	8	9
3.600000e-01	9	9
3.600000e-01	10	10
3.600000e-01	11	18
3.600000e-01	12	8
3.600000e-01	13	10
3.600000e-01	14	13
3.600000e-01	15	16
3.600000e-01	16	16
3.600000e-01	17	17
3.600000e-01	18	18
3.600000e-01	19	19
3.600000e-01	20	20
3.600000e-01	21	21
3.600000e-01	22	22
3.600000e-01	23	23
3.600000e-01	24	24
3.600000e-01	25	25
3.600000e-01	26	26
3.600000e-01	27	27
3.600000e-01	28	28
3.600000e-01	29	29
3.700000e-01	0	0
3.700000e-01	1	1
3.700000e-01	2	2
3.700000e-01	3	3
3.700000e-01	4	4
3.700000e-01	5	5
3.700000e-01	6	6
3.700000e-01	7	1
3.700000e-01	8	9
3.700000e-01	9	9
3.700000e-01	10	10
3.700000e-01	11	18
3.700000e-01	12	8
3.700000e-01	13	10
3.700000e-01	14	13
3.700000e-01	15	16
3.700000e-01	16	16
3.700000e-01	17	17
3.700000e-01	18	18
3.700000e-01	19	19
3.700000e-01	20	20
3.700000e-01	21	21
3.700000e-01	22	22
3.700000e-01	23	23
3.700000e-01	24	24
3.700000e-01	25	25
3.700000e-01	26	26
3.700000e-01	27	27
3.700000e-01	28	28
3.700000e-01	29	29
3.800000e-01	0	0
3.800000e-01	1	1
3.800000e-01	2	2
3.800000e-01	3	3
3.800000e-01	4	4
3.800000e-01	5	5
3.800000e-01	6	6
3.800000e-01	7	1
3.800000e-01	8	9
3.800000e-01	9	9
3.800000e-01	10	10
3.800000e-01	11	18
3.800000e-01	12	8
3.800000e-01	13	10
3.800000e-01	14	13
3.800000e-01	15	16
3.800000e-01	16	16
3.800000e-01	17	17
3.800000e-01	18	18
3.800000e-01	19	19
3.800000e-01	20	20
3.800000e-01	21	21
3.800000e-01	22	22
3.800000e-01	23	23
